Date,Building,Electricity_Consumption_kWh,Occupancy_Count,Average_Temperature_C
2026-05-01,Academic Block,145,320,34
2026-05-02,Academic Block,148,318,35
2026-05-03,Academic Block,143,315,33
2026-05-04,Academic Block,155,325,36
2026-05-05,Academic Block,160,330,37
2026-05-06,Academic Block,158,328,36
2026-05-07,Academic Block,162,335,38
2026-05-08,Academic Block,150,322,35
2026-05-09,Academic Block,156,326,36
2026-05-10,Academic Block,165,340,38
2026-05-11,Academic Block,168,342,38
2026-05-12,Academic Block,170,345,39
2026-05-13,Academic Block,166,338,38
2026-05-14,Academic Block,172,348,39
2026-05-15,Academic Block,175,350,39
2026-05-16,Academic Block,168,342,38
2026-05-17,Academic Block,170,345,38
2026-05-18,Academic Block,172,348,39
2026-05-19,Academic Block,175,350,40
2026-05-20,Academic Block,178,352,40
